00000 -4.00 -3.00 -2.00 -1.00 -0.00 1.00 2.00 3.00 4.00
-4.00 5.5243e0 5.5213e0 5.4983e0 5.3780e0 5.0090e0 4.4354e0 3.8317e0 3.2472e0 2.7008e0
-3.50 4.8906e0 4.8885e0 4.8674e0 4.7507e0 4.3886e0 3.8278e0 3.2470e0 2.7006e0 2.2124e0
-3.00 4.2581e0 4.2577e0 4.2403e0 4.1307e0 3.7816e0 3.2436e0 2.7008e0 2.2126e0 1.8041e0
-2.50 3.6284e0 3.6311e0 3.6208e0 3.5246e0 3.1985e0 2.6982e0 2.2134e0 1.8049e0 1.4918e0
-2.00 3.0048e0 3.0125e0 3.0152e0 2.9434e0 2.6560e0 2.2131e0 1.8071e0 1.4933e0 1.2771e0
-1.50 2.3954e0 2.4096e0 2.4334e0 2.4035e0 2.1759e0 1.8109e0 1.4981e0 1.2801e0 1.1466e0
-1.00 1.8153e0 1.8367e0 1.8880e0 1.9243e0 1.7825e0 1.5088e0 1.2886e0 1.1507e0 1.0747e0
-0.50 1.2903e0 1.3173e0 1.3940e0 1.5170e0 1.4913e0 1.3098e0 1.1649e0 1.0817e0 1.0392e0
0.00 8.5314e-1 8.8152e-1 9.6975e-1 1.1699e0 1.2939e0 1.1988e0 1.1033e0 1.0501e0 1.0237e0
0.50 5.2706e-1 5.5172e-1 6.3267e-1 8.6042e-1 1.1453e0 1.1497e0 1.0813e0 1.0398e0 1.0189e0
1.00 3.1012e-1 3.2829e-1 3.9000e-1 5.8937e-1 9.7254e-1 1.1284e0 1.0825e0 1.0419e0 1.0202e0
1.50 1.7772e-1 1.8963e-1 2.3094e-1 3.7625e-1 7.4776e-1 1.0844e0 1.0957e0 1.0524e0 1.0258e0
2.00 1.0069e-1 1.0796e-1 1.3352e-1 2.2814e-1 5.1714e-1 9.5608e-1 1.1065e0 1.0693e0 1.0355e0
2.50 5.6791e-2 6.1071e-2 7.6219e-2 1.3395e-1 3.2988e-1 7.4291e-1 1.0777e0 1.0900e0 1.0495e0
3.00 3.1977e-2 3.4444e-2 4.3211e-2 7.7187e-2 1.9971e-1 5.1460e-1 9.5479e-1 1.1042e0 1.0680e0
3.50 1.7993e-2 1.9399e-2 2.4409e-2 4.4007e-2 1.1717e-1 3.2826e-1 7.4281e-1 1.0770e0 1.0894e0
4.00 1.0121e-2 1.0918e-2 1.3760e-2 2.4939e-2 6.7498e-2 1.9870e-1 5.1462e-1 9.5466e-1 1.1040e0
